id,term,aliases,type,domain,specificity,applies_to,head_gen,applications,verify,gloss,value_status,confidence,confidence_mirra,wafer_note,updated_session
preston-equation,Preston Equation,preston relation;preston law,equation,process,cmp,polisher,,all,research,Removal rate scales with the product of pressure and relative velocity,published,established,probable,na,1
removal-rate,Removal Rate,mrr;material removal rate;polish rate,metric,process,cmp,polisher,,all,on-tool,Thickness removed per unit time and the headline output of a polish step,published,established,probable,na,1
lubrication-regime,Lubrication Regime,stribeck regime;contact mode;tribological regime,principle,process,cmp,polisher,,all,research,Whether pad and wafer touch through asperities or ride on a slurry film,published,established,uncertain,na,1
slurry-transport,Slurry Transport,slurry delivery;mean residence time;mrt,principle,process,cmp,polisher,,all,on-tool,How fresh slurry reaches and leaves the gap between pad and wafer,published,probable,uncertain,na,1
pad-asperity-contact,Pad Asperity Contact,asperity contact;real contact area,principle,process,cmp,polisher,,all,research,Load rides on a small fraction of pad summits not on the nominal area,published,established,uncertain,na,1
planarization-length,Planarization Length,planarization distance;effective density length,principle,process,cmp,polisher,,all,research,Radius over which the pad averages topography instead of following it,published,probable,uncertain,na,1
endpoint-detection,Endpoint Detection,epd;end point detection,concept,controls,cmp,polisher,,all,on-tool,Deciding in real time when a polish step has removed enough film,published,established,probable,na,1
isrm,In-Situ Rate Monitor,isrm;in situ removal monitor;optical endpoint,subsystem,controls,mirra,polisher,,all,on-tool,AMAT optical endpoint that watches the wafer through a window in the pad,published,probable,probable,na,1
motor-current-endpoint,Motor Current Endpoint,friction endpoint;motor torque endpoint,signal,controls,cmp,polisher,,tungsten;copper,on-tool,Endpoint taken from the drive current shift when the polished film changes,published,established,uncertain,na,1
within-wafer-nonuniformity,Within-Wafer Nonuniformity,wiwnu;nu;uniformity,metric,process,cmp,polisher,,all,on-tool,Spread of removal across one wafer quoted as a percent of the mean,published,established,probable,Radial sample plans differ between 150 mm and 200 mm so numbers do not compare,1
platen,Platen,table;polishing table,component,hardware,cmp,polisher,,all,on-tool,The rotating table that carries the pad and sets pad speed,published,established,probable,na,1
carousel,Carousel,head carousel;index carousel,subsystem,hardware,mirra,polisher,either,all,on-tool,Rotating arm set that indexes four carrier heads between three platens,published,probable,probable,na,1
carrier-head,Carrier Head,polishing head;wafer carrier;chuck,subsystem,hardware,cmp,polisher,either,all,on-tool,Assembly that holds the wafer face down and presses it onto the pad,published,established,probable,na,1
titan-head,Titan Head,titan;titan carrier head,subsystem,hardware,mirra,polisher,titan,all,research,The standard Mirra head with a multi-zone membrane behind the wafer,published,probable,probable,na,1
titan-profiler-head,Titan Profiler Head,profiler head;titan profiler,subsystem,hardware,mirra,polisher,titan-profiler,all,research,Mirra head that tunes the radial pressure profile including near the edge,published,probable,probable,Profiler is named for 150 mm in the source found so far,1
carrier-membrane,Carrier Membrane,membrane;bladder;diaphragm,component,hardware,cmp,polisher,either,all,on-tool,Flexible sheet that turns chamber pressure into load on the wafer back,published,established,probable,na,1
retaining-ring,Retaining Ring,retainer ring;retainer,component,hardware,cmp,polisher,either,all,on-tool,Ring that holds the wafer in the head and presses the pad at the edge,published,established,probable,Ring bore is a change part between 150 mm and 200 mm,1
zone-pressure-control,Zone Pressure Control,zone pressures;multi-zone control;profile control,parameter,hardware,mirra,polisher,either,all,on-tool,Independent chamber pressures that set the radial pressure profile,published,probable,probable,na,1
polishing-pad,Polishing Pad,pad;stacked pad;subpad,consumable,consumables,cmp,polisher,,all,on-tool,Grooved polyurethane sheet that carries slurry and transmits the load,published,established,probable,na,1
pad-conditioning,Pad Conditioning,conditioning;dressing;diamond disk,procedure,consumables,cmp,polisher,,all,on-tool,Cutting the pad with a diamond disk to regenerate asperities,published,established,probable,na,1
slurry,Slurry,polishing slurry;abrasive slurry,consumable,consumables,cmp,polisher,,all,on-tool,Abrasive plus chemistry that supplies the chemical half of removal,published,established,probable,na,1
tungsten-slurry-oxidizer,Tungsten Slurry Oxidizer,oxidizer;ferric nitrate;hydrogen peroxide,consumable,consumables,cmp,polisher,,tungsten,research,Oxidant that grows the passivating film abrasion then strips,published,established,uncertain,na,1
sti-ceria-slurry,STI Ceria Slurry,ceria slurry;cerium oxide slurry;high selectivity slurry,consumable,consumables,cmp,polisher,,oxide-sti,research,Ceria slurry that cuts oxide fast and slows on the nitride stop layer,published,established,uncertain,na,1
copper-dishing,Copper Dishing,dishing,failure_mode,process,cmp,polisher,,copper,research,Recess in a copper line left when metal polishes faster than dielectric,published,established,uncertain,na,1
oxide-erosion,Oxide Erosion,erosion;array erosion,failure_mode,process,cmp,polisher,,copper;tungsten,research,Extra dielectric loss over dense arrays measured against nearby field,published,established,uncertain,na,1
mesa-cleaner,Mesa Cleaner,mesa;integrated cleaner,subsystem,clean,mirra,mesa,,all,research,The integrated cleaner that makes a Mirra Mesa dry-in and dry-out,published,probable,probable,na,1
pva-brush-scrubber,PVA Brush Scrubber,brush box;double sided scrubber;brush station,component,clean,cmp,mesa,,all,on-tool,Contact clean where PVA brushes sweep particles off both wafer faces,published,established,probable,na,1
megasonic-clean,Megasonic Clean,megasonic;immersion megasonic,component,clean,cmp,mesa,,all,research,Non-contact clean using high frequency acoustic energy in a wet bath,published,established,uncertain,na,1
spin-rinse-dryer,Spin Rinse Dryer,srd;dryer,component,clean,cmp,mesa,,all,on-tool,Final rinse and spin dry station that returns a dry wafer to the cassette,published,probable,uncertain,na,1
