id,title_slug,author_or_assignee,year,source_type,url,access,tier,observed_on
amat-mirra-200mm,mirra-cmp-200mm-product-page,applied-materials,na,vendor_spec,https://www.appliedmaterials.com/us/en/product-library/mirra-cmp-200mm.html,snippet-only,1,
amat-mirra-mesa-200mm,mirra-mesa-cmp-200mm-product-page,applied-materials,na,vendor_spec,https://www.appliedmaterials.com/en-in/products/mirra-mesa-cmp-200mm,snippet-only,1,
amat-pr-mirra-mesa,applied-materials-announces-new-mirra-mesa-system,applied-materials,na,press_release,https://ir.appliedmaterials.com/news-releases/news-release-details/applied-materials-announces-new-mirra-mesa-system-address-market/,snippet-only,4,
amat-pr-optical-endpoint,applied-materials-awarded-key-patent-for-cmp-endpoint-detection-technology,applied-materials,na,press_release,https://ir.appliedmaterials.com/news-releases/news-release-details/applied-materials-awarded-key-patent-cmp-endpoint-detection,snippet-only,4,
pat-us6244942,carrier-head-with-a-flexible-membrane-and-adjustable-edge-pressure,applied-materials,2001,patent,https://patents.justia.com/patent/6244942,snippet-only,1,
pat-us6450868,carrier-head-with-multi-part-flexible-membrane,applied-materials,2002,patent,https://patents.google.com/patent/US6450868,snippet-only,1,
pat-us6540594,carrier-head-with-a-flexible-membrane-for-a-chemical-mechanical-polishing-system,applied-materials,2003,patent,https://patents.google.com/patent/US6540594B2/en,snippet-only,1,
pat-us6537133,method-for-in-situ-endpoint-detection-for-chemical-mechanical-polishing-operations,applied-materials,2003,patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/6537133,snippet-only,1,
pat-us6886387,brush-pressure-calibration-apparatus-and-method,assignee-unconfirmed,2005,patent,https://patents.google.com/patent/US6886387B1/en,snippet-only,1,
book-steigerwald-1997,chemical-mechanical-planarization-of-microelectronic-materials,steigerwald-murarka-gutmann,1997,book,https://www.wiley.com/en-us/Chemical+Mechanical+Planarization+of+Microelectronic+Materials-p-9783527617753,paywalled,2,
rev-zantye-2004,chemical-mechanical-planarization-for-microelectronics-applications,zantye-kumar-sikder,2004,review,http://www.eng.usf.edu/~kumar/Backup/Publications/selected_publications/Review_CMP.pdf,free-pdf,2,
ref-preston-1927,the-theory-and-design-of-plate-glass-polishing-machines,preston,1927,paper,na,not-retrieved,2,
jmr-2020-wafer-interface,a-review-on-chemical-and-mechanical-phenomena-at-the-wafer-interface-during-cmp,journal-of-materials-research,2020,review,https://link.springer.com/article/10.1557/s43578-020-00060-x,snippet-only,2,
intech-cmp-lubrication,lubrication-in-chemical-and-mechanical-planarization,intechopen,na,book_chapter,https://www.intechopen.com/chapters/52631,snippet-only,3,
thesis-lai-mit,characterization-and-optimization-of-the-cmp-process-chapter-2,lai-mit,na,thesis,https://web.mit.edu/cmp/publications/thesis/jiunyulai/ch2.pdf,free-pdf,3,
mit-boning-cu-damascene,pattern-and-process-dependencies-in-copper-damascene-cmp,boning-group-mit,na,conference,https://boning.mit.edu/wp-content/uploads/2022/11/Pattern-and-Process-Dependencies-in-Copper-Damascene-Chemical-Mechanical-Polishing-Processes.pdf,free-pdf,3,
ieee-profiler-contour-heads,process-stability-and-tool-capacity-improvement-with-150mm-profiler-and-200mm-contour-heads,ieee-conference-paper,na,conference,https://ieeexplore.ieee.org/document/7919822/,snippet-only,3,
