node_id,source_id,field
preston-equation,ref-preston-1927,definition
preston-equation,jmr-2020-wafer-interface,physics
preston-equation,thesis-lai-mit,general
removal-rate,rev-zantye-2004,definition
removal-rate,thesis-lai-mit,physics
lubrication-regime,intech-cmp-lubrication,definition
lubrication-regime,intech-cmp-lubrication,physics
slurry-transport,sd-groove-width-mrt,definition
slurry-transport,sd-groove-flow-numerical,physics
pad-asperity-contact,jmr-2020-wafer-interface,physics
pad-asperity-contact,intech-cmp-lubrication,general
planarization-length,mrs-density-stepheight,definition
planarization-length,ieee-dishing-model,physics
endpoint-detection,rev-zantye-2004,definition
endpoint-detection,amat-pr-optical-endpoint,mirra_application
isrm,pat-us6537133,definition
isrm,amat-pr-optical-endpoint,mirra_application
isrm,amat-mirra-200mm,mirra_application
motor-current-endpoint,rev-zantye-2004,physics
motor-current-endpoint,book-steigerwald-1997,general
within-wafer-nonuniformity,nccavs-feeney-2012,definition
within-wafer-nonuniformity,ieee-profiler-contour-heads,mirra_application
platen,sst-new-cmp-architecture,mirra_application
platen,rev-zantye-2004,definition
carousel,sst-new-cmp-architecture,mirra_application
carousel,entrepix-mirra,general
carrier-head,book-steigerwald-1997,definition
carrier-head,amat-mirra-200mm,mirra_application
titan-head,ieee-profiler-contour-heads,mirra_application
titan-head,amat-mirra-200mm,definition
titan-profiler-head,ieee-profiler-contour-heads,mirra_application
titan-profiler-head,amat-mirra-mesa-200mm,definition
carrier-membrane,pat-us6244942,definition
carrier-membrane,pat-us6450868,physics
retaining-ring,pat-us6540594,definition
retaining-ring,book-steigerwald-1997,physics
zone-pressure-control,pat-us6244942,definition
zone-pressure-control,ieee-profiler-contour-heads,mirra_application
polishing-pad,rev-zantye-2004,definition
polishing-pad,sd-groove-flow-numerical,physics
pad-conditioning,sd-diamond-disc-conditioning,definition
pad-conditioning,springer-diamond-shape,typical_values
slurry,rev-zantye-2004,definition
slurry,jmr-2020-wafer-interface,physics
tungsten-slurry-oxidizer,sd-w-cmp-oxidants,definition
tungsten-slurry-oxidizer,book-steigerwald-1997,physics
sti-ceria-slurry,iop-sti-cmp-review,definition
sti-ceria-slurry,sd-sti-selectivity,physics
copper-dishing,mit-boning-cu-damascene,definition
copper-dishing,ieee-dishing-model,physics
oxide-erosion,mit-boning-cu-damascene,definition
oxide-erosion,ieee-dishing-model,physics
mesa-cleaner,amat-mirra-mesa-200mm,definition
mesa-cleaner,amat-pr-mirra-mesa,mirra_application
pva-brush-scrubber,entegris-pva-brush,definition
pva-brush-scrubber,rg-particle-adhesion,physics
pva-brush-scrubber,pat-us6886387,mirra_application
megasonic-clean,amat-mirra-mesa-200mm,mirra_application
megasonic-clean,rg-particle-adhesion,definition
spin-rinse-dryer,amat-mirra-mesa-200mm,mirra_application
